CC;CC_Label
YCA;JACK
KDF;PEDAL ASSEMBLY COMPONENTS
YBF;FOOTREST
YAE;BRG CAGE
YAG;GREASE-OUTER
T23;PKB DVC
FVZ;SHIFT BRKT&PARKING PAWL
KDG;PEDAL ASSEMBLY SWITCH
KD8;SPARE WHEEL CRADLE
YAB;AXLE BRKT
YEA;OTHER
KDB;ACCELERATOR CABLE
XQA;PKB DVC
YAH;HUB CAP
YDA;TOOL
YBA;PEDAL
XRD;EXH PKB
KDE;HYDRAULIC CLUTCH CONTROLS
K23;COMPLETE GEAR SHIFT
XPB;MT DVC
XPA;AT DVC
QH1;FUEL HOSE
T14;TUBE 6D
MH2;FUEL FILLER TUBE
LPG;LIQUID PETROLEUM GAZ (LPG) PARTS
THF;FUEL HOSE (RUBBER FOR ENGINE)
T10;HOSE 3H
MH7;UREA POMP MODULE (SCR)
MH8;UREA PIPES (SCR)
QT3;OTHER TUBE
MH1;FUEL
QT1;TUBE COMPL-FUEL BRAK
MH3;FUEL PUMP/MODULE
T13;HOSE 6D
MH4;BAND ASSY FUEL TANK
THA;AT HOSE
MH9;STAMPING / PROTECTOR
QT2;BRAKE AND FUEL PIPES (METALLIC PARTS)
T47;HOSE 3J
MH6;FUEL FILLER CAP
AZZ;OTHER PARTS
K0N;FUEL CANALISATION
MH0;UREA TANK (SCR)
A93;HOSE
MH5;PROTER ASSY FUEL TANK
CG1;CANISTER
MFZ;AIR VALVE
MFV;BALANCE WEIGHT
MF1;TIRE
MFW;PB BALANCE WEIGHT DRIVE TYPE
NZA;ANOTHER A/S PARTS
MFA;ALLOY WHEEL
MF9;TIRE & WHEEL ASSY
MFS;SILVER GRAND STEEL WHEEL
MJ4;SUSP BUSH
MJ1;STRUT/SHOCK
MJ5;STAB
G1C;BRG STRUT
T07;SUSP OTHER
TAV;OTHER ANTI VIBRATION RUBBER
TCM;CAB MTG
ICU;STRUT / SHOCK P&A
T04;SUSP BUSH
T02;SPR STAB
YAD;BALL JOINT
MJ2;SPR
TEB;ENG MTG BRKT
TEM;ENG NTG INSUL
MD4;CLUTCH -M/CYL
MDK;WSS-SHIM
K0H;MISCELLANEOUS BRAKING
MDX;ACTUATION-M/CYL
K58;REGENERATIVE BRAKE SYSTEM (INCLUDING VACCUM PUMP)
MD7;EXHAUST-SHUTTER
MDH;MODULATION-BOLT
MDI;MODULATION-RELAY
MDB;MODULATION-G SENSOR(ABS)
MDO;DRUM BRAKES
MDA;MODULATION ABS (INCLUDING LSV)
MD5;CLUTCH -CLUTCH OPE
MDM;WSS-RR
MDL;WSS (WHEEL SPEED SENSOR)
THV;BRAKE VACUUM HOSE
MDD;MODULATION-VDC
MDV;ACTUATION
MDQ;PAD/LINING PAD
MDJ;WSS-OTHER
MD8;VACCUM HOSE
MDZ;SEN ROTOR
EDR;E-DRUM BRAKES
MDF;MODULATION-SAS
MDP;PAD/LINING LINING
MDW;ACTUATION-CONT
MD2;BRAKE BRAKETS
MD1;REAR CALIPERS (FPM)
THB;BRAKE HOSE
MDS;PAD/LINING-WEAR
4H0;ACC
XPC;OTHER AT/MT DVC
K0I;BRAKE HOSES
K57;EPB SYSTEM
T09;TANK
MDT;FR/RR BRAKE OTHER
MDN;FRONT CALIPERS
MD6;CLUTCH OTHER
MDE;MODULATION ESP (INCLUDING SENSOR)
MDG;MODULATION-WIRE ASSY-STRG
MDC;MODULATION-TCS
MDU;ACTUATION-BOOSTER
MD3;CLUTCH -DAMPER
MDY;FLUID TANK AND HOSE
MDR;PAD/LINING-SHOE
ME4;4RD/4WS - ACTIVE REAR STEERING
ME7;RACK EPS
THP;P/S HOSE
G0H;BRG OTHER
ME6;HEPS
S1D;MECHANICAL STEERING COLUMN
ME3;COLUMN EPS
THM;OTHER HOSE (LOW/MIDDLE PRESSOR)
ME9;STEERING - AFTER SALE COMPONENTS
ME1;GEAR ASSY STRG - HYDRAULIC
ME8;DOUBLE/SINGLE PINION EPS
ME5;TANK ASSY PS
K36;PRESSURE SWITCH
ME2;PS PUMP
ME0;GEAR ASSY STRG - MANUAL
S7C;LOW VOLTAGE AIR HEATER
S5A;AC AMPLIFIER
S5B;SENSOR CLIMATE
NSD;CABIN FILTER
S5C;BOILER CHAUDIERE ADDTIONNEL
S6B;HEAT PUMP
T44;OTHER 1S
S2N;HVAC-CPM
S6D;DRAIN HOSE
KQA;CABIN FILTER
S7B;WATER PTC
S6C;BATTERY BLOWER
S8C;AC ELECTRO VALVE
S1B;HVAC
S9B;HVAC OTHER
S8B;AC WATER EVAP FOR BATTERY COOLING
S3A;COMPR
S3B;ECOMPRESSORS
S4A;COMPR OTHER
K06;WATER HOSE
3FD;OTHER PARTS FOR CONDENSER FUNCTION (BRKTS SENSOR)
3FL;AT/ CVT OILCOOLER-OILCOOLER AND BRKTS
T03;ENG MTG BRKT
T42;BRKT 3G
T12;BRKT 3H
3FK;EXPANSION BOTTLE BOTTLE CAP
K0P;LOW PRESSURE HOSES
FVX;CASE&COVER BRKT
3FO;ACTIVE GRID SHUTTERS
S4C;PIPE&HOSE OTHER
T48;BRKT 3J
THR;ENG COOLING  SYSTEM
T15;BRKT 6D
S4D;HEAT PUMP SYSTEM
3FJ;UCR (RAD+COND) ECM (RAD+COND+MFS OR RAD+MFS)
3FE;RADIATOR RADIATOR WITH OILCOOLER
T26;BRKT 4A
L70;INTER COOLER
K05;DEGASSING HOSE
3FF;OTHER PARTS RADIAT FUNCT (BRKT RAD CAP RAD MOUNT)
T38;BRKT 3A
S4B;PIPE & HOSE
K0Q;HIGH PRESSURE HOSES
3FM;FIXING BRACKET
T25;BRKT 5D
3FG;SHROUD WITH MOTOR FAN PUSHER FAN
K0M;WATER HOSE
K0L;CA PIPES
T46;WIPER OTHER
3FC;CONDENSER CONDENSER WITH LIQUID TANK
K0K;DEGASSING HOSE
AZ1;STAMPING
EWP;EWATER PUMP
3FH;OTHER PARTS FOR M/F FUNCTION (RESISTOR AIR GUIDES)
THH;HEATER HOSE
